acks,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1,mtls,throughput_records_per_sec,Throughput records/s,864,2408.788912828704,999.670109,2618.2503113844787,570.603699,997.78863225,2788.26478875,9980.03992
1,plaintext,throughput_records_per_sec,Throughput records/s,864,2915.2794746516206,999.650122,3170.1061639138998,619.537289,997.7025052500001,4360.49801375,9976.057462
1,tls,throughput_records_per_sec,Throughput records/s,864,2386.78319155787,999.668822,2607.7885126814326,562.413267,997.168957,2917.093007,9977.052779
all,mtls,throughput_records_per_sec,Throughput records/s,864,2304.6722181435184,999.5795445000001,2548.155343186472,574.201472,997.3492565,2500.42916575,9976.057462
all,plaintext,throughput_records_per_sec,Throughput records/s,864,2781.7087825844906,999.628423,3086.833940671735,618.273229,997.4785597499999,3392.387538,9976.057462
all,tls,throughput_records_per_sec,Throughput records/s,864,2286.2435704050927,999.6197585,2543.5655622956133,552.964662,997.2231644999999,2541.26806125,9979.044008
1,mtls,throughput_mb_per_sec,Throughput MB/s,864,38.436875,11.855,40.63380605644176,0.96,6.260000000000001,72.5825,157.86
1,plaintext,throughput_mb_per_sec,Throughput MB/s,864,42.00296296296296,13.77,42.26203334574837,0.96,9.5075,78.2025,179.72
1,tls,throughput_mb_per_sec,Throughput MB/s,864,37.42633101851852,11.370000000000001,39.41089600801174,0.96,6.3225,68.14,158.7
all,mtls,throughput_mb_per_sec,Throughput MB/s,864,36.25534722222223,11.475000000000001,37.68540589194374,0.96,6.16,70.9825,157.32
all,plaintext,throughput_mb_per_sec,Throughput MB/s,864,39.61512731481481,13.379999999999999,39.47114040935823,0.96,9.4425,76.1475,147.51
all,tls,throughput_mb_per_sec,Throughput MB/s,864,35.35402777777777,11.219999999999999,36.63397893007568,0.96,6.175000000000001,67.0275,148.9
1,mtls,avg_latency_ms,Average latency ms,864,1780.7805919717593,393.45249085,2608.3740999080305,6.04,129.1075328,2401.9363674,11315.5211944
1,plaintext,avg_latency_ms,Average latency ms,864,501.15193813391204,43.63046305,1352.0528725483964,2.34,9.712499999999999,130.7074124,8761.8560936
1,tls,avg_latency_ms,Average latency ms,864,1805.735858604861,404.72270685,2667.2656205770186,5.52,101.66,2349.7090380749996,12179.916926
all,mtls,avg_latency_ms,Average latency ms,864,1893.3656900761575,532.19,2714.3235273210544,7.18,176.5,2577.7732974749997,12418.1422486
all,plaintext,avg_latency_ms,Average latency ms,864,573.6692676421296,69.00842645,1455.5859606524918,5.18,20.139110425,189.675969725,9280.0909335
all,tls,avg_latency_ms,Average latency ms,864,1916.3960495436343,524.67243795,2768.9105402068885,7.18,161.141411175,2490.9536393,12935.0616501
1,mtls,max_latency_ms,Maximum latency ms,864,10002.21412037037,9375.0,7404.470350130252,1032.0,1420.75,18366.25,23779.0
1,plaintext,max_latency_ms,Maximum latency ms,864,5238.912037037037,5011.0,3916.5427621232857,472.0,715.75,9676.25,14105.0
1,tls,max_latency_ms,Maximum latency ms,864,9296.13425925926,8689.0,6899.929946506462,924.0,1356.5,16554.5,24947.0
all,mtls,max_latency_ms,Maximum latency ms,864,10257.755787037036,9509.5,7589.9695256206915,1075.0,1504.75,18871.25,32187.0
all,plaintext,max_latency_ms,Maximum latency ms,864,5448.045138888889,5135.5,3941.4499425443487,508.0,975.5,9787.25,15492.0
all,tls,max_latency_ms,Maximum latency ms,864,9793.482638888889,9157.5,7267.72447828694,1011.0,1418.75,17443.5,25204.0
1,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1326.5170163171294,230.18518,2583.364064333627,46.860941,124.531621,999.730073,9980.03992
1,plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1426.6542518553242,395.1652775,2668.908542024276,50.88886,126.18557025,999.720078,9976.057462
1,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1309.0864103078702,233.33252900000002,2557.9837758839312,46.283388,115.45342175,999.720078,9977.052779
all,mtls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1245.1764227870372,221.564535,2491.49004246721,47.525622,120.30918725000001,999.650122,9976.057462
all,plaintext,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1330.039868277778,388.497251,2558.7830559951612,50.812735,120.99108225,999.740068,9976.057462
all,tls,producer_throughput_records_per_sec_min,Producer shard min throughput records/s,864,1233.6374143530093,230.65635600000002,2480.029384448622,45.522584,111.36304050000001,999.680102,9979.044008
1,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1334.6876784710648,263.7393255,2581.268526993158,49.059781,126.3508225,999.740068,9980.03992
1,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1436.4724620277777,410.605824,2666.967232267698,52.559219,127.89989525,999.720078,9976.057462
1,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1317.1862301817132,262.29848100000004,2555.8747353262206,48.31817,117.46886925000001,999.740068,9977.052779
all,mtls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1252.4990723101853,245.64525150000003,2489.675273824322,48.559757,122.92975125,999.670109,9976.057462
all,plaintext,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1340.1633408136574,398.4373355,2557.1057141059173,52.335732,122.43739225,999.740068,9976.057462
all,tls,producer_throughput_records_per_sec_max,Producer shard max throughput records/s,864,1241.6851784953703,250.33155699999998,2478.099984449603,46.943834,113.5313995,999.6925945,9979.044008
1,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1556.626597222222,374.53499999999997,2333.8049481219437,6.04,104.6375,1979.3525,11120.22
1,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,447.676087962963,36.370000000000005,1277.178444861817,2.34,9.712499999999999,105.505,8571.5
1,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1596.4331828703705,368.455,2417.667926421197,5.52,90.57000000000001,1973.21,11861.53
all,mtls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1668.4341782407407,458.325,2445.4429973485926,7.18,166.365,1943.4924999999998,11795.72
all,plaintext,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,519.6000578703704,57.97,1387.5445390557877,5.18,18.475,153.9725,9049.27
all,tls,producer_avg_latency_ms_min,Producer shard min avg latency ms,864,1701.006238425926,454.935,2498.2822598604466,7.18,140.67000000000002,2025.5275,11985.65
1,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,1990.6369675925923,458.20000000000005,2868.255524175336,6.04,129.53,2832.335,11792.44
1,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,553.7229282407408,48.36,1426.9290898594588,2.34,9.712499999999999,166.3325,9244.63
1,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,2005.658101851852,451.86,2898.344684128285,5.52,104.9725,2827.37,12472.74
all,mtls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,2113.965925925926,562.4,2983.5723500468675,7.18,185.3,2912.3025000000002,13905.85
all,plaintext,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,629.0480787037037,85.75,1527.8722096729769,5.18,23.09,245.6175,9582.54
all,tls,producer_avg_latency_ms_max,Producer shard max avg latency ms,864,2133.963773148148,580.655,3047.717137431876,7.18,168.675,2940.6425,13959.67
1,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,6231.757777777774,4702.919999999996,6025.413290815548,8.299999999999908,337.41125,9982.112500000001,20449.9
1,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,2339.9511168981426,382.215,3398.4062834976357,4.01,21.385,4455.922499999999,11835.305
1,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,6313.956741898144,5090.509999999989,5970.062982882505,7.389999999999932,316.37125000000003,10677.021249999994,19234.2
all,mtls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,6495.751493055553,4947.064999999999,6226.818644249466,9.839999999999897,356.655,10159.663749999996,31667.5
all,plaintext,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,2473.19217592592,571.1124999999993,3482.5857168767257,5.66999999999999,69.975,4486.374999999964,12560.27
all,tls,interval_avg_latency_ms_p95,Interval avg latency p95 diagnostic,864,6394.5570312499985,4959.445,6102.400539339215,9.689999999999902,368.21750000000003,10229.37375,20172.654999999995
1,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,8702.576228009259,8565.060000000001,7236.264906302314,39.26000000000001,372.64100000000013,16641.7325,22023.999999999985
1,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,3952.2042812499994,1499.7184999999968,4243.543804824621,4.082,57.503499999999995,9122.744999999999,12339.427
1,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,8466.785694444445,8318.52,6859.049295238261,30.35800000000001,384.63400000000007,15716.029999999999,20258.199999999993
all,mtls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,9191.764444444445,8975.010000000002,7495.513522182077,44.68800000000001,437.2585,17658.0075,32155.5
all,plaintext,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,4118.741879629629,1799.687499999999,4272.413251187201,7.984,138.84650000000002,9217.4375,13154.794999999998
all,tls,interval_avg_latency_ms_p99,Interval avg latency p99 diagnostic,864,8806.93614236111,8561.725,7163.588011606031,42.716000000000015,441.69,16425.5225,21524.352000000003
1,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,8244.437152777773,7752.75,6656.03829340099,127.59999999999778,1282.3625,14927.675,21023.95
1,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,3207.9199074074004,1480.375,3365.17252442867,80.99999999999872,612.7125,5201.4375,12721.85
1,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,7919.891666666663,7511.574999999999,6398.022096560227,111.099999999998,1186.2874999999997,14516.462500000001,20097.8
all,mtls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,8484.359664351849,7896.749999999996,6836.789733275536,138.39999999999768,1339.65,15107.949999999999,31667.5
all,plaintext,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,3451.316898148141,1892.8249999999996,3414.049778813194,91.69999999999884,784.3874999999996,5333.474999999999,14061.25
all,tls,interval_max_latency_ms_p95,Interval max latency p95 diagnostic,864,8264.590219907404,7689.299999999985,6663.34978954372,125.3999999999979,1224.9874999999995,14838.675,22227.049999999996
1,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9654.61560185185,9140.785,7172.430565775793,851.6400000000003,1334.225,17907.9375,22494.76000000001
1,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,5009.770532407408,4757.275,3759.4391955789456,439.3600000000001,669.1225000000001,9175.312499999995,13250.16
1,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9018.669282407407,8572.04,6723.624228505332,762.9000000000002,1258.1275,16082.297499999999,23335.4
all,mtls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9932.772083333333,9271.174999999997,7379.479293030679,893.9200000000003,1425.3474999999999,18344.425000000003,32155.5
all,plaintext,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,5208.403680555556,4846.289999999999,3788.9649038968305,428.4400000000001,943.6975,9360.710000000001,15122.85
all,tls,interval_max_latency_ms_p99,Interval max latency p99 diagnostic,864,9522.904421296296,8955.404999999999,7095.863094021666,833.8800000000003,1342.2375000000002,17026.0375,23625.090000000004
1,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,75.85702583169389,84.03842503987241,23.68891643836176,6.7025289239275105,67.52382902992278,94.24827298407807,97.38142076502731
1,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,77.01884359836096,82.54270114942528,20.34636944866452,16.004727272727273,70.2804507084715,94.33342052023121,96.8525568181818
1,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,77.5298606209908,86.25506864988557,22.51205018920043,1.408793975693435,70.9104214559387,94.32686511375948,97.20730337078652
all,mtls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,75.66354299214612,85.5602692140686,23.75515067349964,4.120404290873807,65.28550483870967,94.46154026930894,97.394043715847
all,plaintext,benchmark_client_cpu_percent_mean,Benchmark client CPU %,863,76.90602492988403,82.65875000000001,20.473277838440794,1.892249735769289,68.4955409232512,94.2160150273224,97.02861111111112
all,tls,benchmark_client_cpu_percent_mean,Benchmark client CPU %,864,77.27799963490152,86.52597531225607,22.383840843189,14.72596330275231,68.46897241647241,94.56198934426229,97.2155
1,mtls,broker_cpu_percent_mean,Broker CPU mean %,864,22.263681653886504,19.00395649096413,13.873203210512582,3.228895730706075,10.084814280458726,32.850455426755566,58.35175110594206
1,plaintext,broker_cpu_percent_mean,Broker CPU mean %,864,28.4712553452252,27.49065760033077,9.502792724074107,9.02626306783779,20.88568403291002,35.319673863478606,53.102611215316315
1,tls,broker_cpu_percent_mean,Broker CPU mean %,863,24.922258794756136,21.453024825428137,13.800445399289234,3.2950660018993347,13.520319510045558,34.923917481492026,59.82172628523237
all,mtls,broker_cpu_percent_mean,Broker CPU mean %,864,22.428688469047458,18.592163901212828,14.119615782260844,3.2207672442534174,10.15060415288202,32.52049412565462,57.77664313795333
all,plaintext,broker_cpu_percent_mean,Broker CPU mean %,862,28.94070856035848,27.346459423256483,9.985159821998774,8.56043141109655,20.74030975169489,35.9894775925729,56.61478827598951
all,tls,broker_cpu_percent_mean,Broker CPU mean %,864,24.99212517248398,21.80327767161168,13.894429460048462,3.2852559333624813,13.263086179296753,35.166037300842504,59.326392290124886
1,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,50.72137114197531,47.47633333333333,21.788265002166657,10.508,30.939333333333334,69.591,97.168
1,plaintext,broker_cpu_percent_max_mean,Broker CPU max mean %,864,53.49217283950617,51.83766666666667,15.768205622892083,18.404,41.17,64.049,95.458
1,tls,broker_cpu_percent_max_mean,Broker CPU max mean %,863,52.56391657010429,50.164,20.896854317527293,11.28,33.714,70.71733333333333,97.842
all,mtls,broker_cpu_percent_max_mean,Broker CPU max mean %,864,50.13752623456791,46.953,21.15565153446149,10.088,30.355999999999998,70.75,90.404
